arrival_time_us,cpu_burst_duration_us,io_burst_duration_us,nice,weight,scheduling_class,cpu_request
0,105734672,0,19,15,0,0.046509
0,117258412,0,19,15,0,0.033813
0,120413431,0,19,15,0,0.001673
0,117625794,0,19,15,0,0.005020
0,120231115,0,19,15,0,0.014008
0,107167660,0,19,15,0,0.007576
0,125433769,0,19,15,0,0.038025
0,82409594,0,19,15,0,0.040222
0,82659273,0,19,15,0,0.005104
0,120085042,0,19,15,0,0.002796
0,113162080,0,19,15,0,0.002201
0,80855152,0,19,15,0,0.021912
0,115258150,0,19,15,0,0.001585
0,9574593,0,19,15,0,0.002819
0,115590883,0,19,15,0,0.000705
0,85323365,0,19,15,0,0.000996
0,105601758,0,19,15,0,0.007484
0,117861876,0,19,15,0,0.008987
0,118252771,0,19,15,0,0.003170
0,103976408,0,19,15,0,0.037842
0,117866789,0,19,15,0,0.007042
0,6287612,0,19,15,0,0.140869
0,83838971,0,19,15,0,0.007751
0,83131239,0,19,15,0,0.007660
0,117724730,0,19,15,0,0.030304
0,6397770,0,19,15,0,0.009415
0,138563481,0,19,15,0,0.002201
0,117116356,0,19,15,0,0.029938
0,114642104,0,19,15,0,0.005371
0,116664718,0,19,15,0,0.008194
0,110263552,0,19,15,0,0.006958
0,6506103,0,19,15,0,0.001585
0,105351964,0,19,15,0,0.001619
0,80596611,0,19,15,0,0.033569
0,88057853,0,19,15,0,0.027222
0,6420824,0,19,15,0,0.001585
0,83809805,0,19,15,0,0.002201
0,205577764,0,19,15,0,0.009247
0,138563886,0,19,15,0,0.084106
0,126705980,0,19,15,0,0.005020
0,111355017,0,19,15,0,0.026672
0,6421001,0,19,15,0,0.026428
0,109476840,0,19,15,0,0.040527
0,98191085,0,19,15,0,0.008011
0,120420079,0,19,15,0,0.010483
0,103926008,0,19,15,0,0.000441
0,88979646,0,19,15,0,0.001585
0,110110087,0,19,15,0,0.008194
0,5808215,0,19,15,0,0.008194
0,183541922,0,19,15,0,0.007843
0,110877384,0,19,15,0,0.008179
0,139578532,0,19,15,0,0.000793
0,82829346,0,19,15,0,0.006516
0,82422996,0,19,15,0,0.027832
0,117635772,0,19,15,0,0.008194
0,115145717,0,19,15,0,0.029510
0,117747994,0,19,15,0,0.009506
0,5798132,0,19,15,0,0.007751
0,108174893,0,19,15,0,0.008194
0,116732865,0,19,15,0,0.006248
0,112038800,0,19,15,0,0.001585
0,107365183,0,19,15,0,0.007042
0,115590514,0,19,15,0,0.023346
0,139569504,0,19,15,0,0.008896
0,118422140,0,19,15,0,0.010300
0,113162080,0,19,15,0,0.032227
0,80326944,0,19,15,0,0.008545
0,82361040,0,19,15,0,0.006340
0,117638500,0,19,15,0,0.005722
0,112453391,0,19,15,0,0.005638
0,118378752,0,19,15,0,0.006165
0,115183244,0,19,15,0,0.011536
0,116851225,0,19,15,0,0.004845
0,106035175,0,19,15,0,0.007751
0,103663332,0,19,15,0,0.003170
0,80837938,0,19,15,0,0.006340
0,128989696,0,19,15,0,0.005722
0,106953596,0,19,15,0,0.007217
0,110234230,0,19,15,0,0.006340
0,116313695,0,19,15,0,0.011276
0,115910914,0,19,15,0,0.004402
0,117802484,0,19,15,0,0.009689
0,8796593,0,19,15,0,0.006516
0,87250580,0,19,15,0,0.006165
0,117156672,0,19,15,0,0.008545
0,110012946,0,19,15,0,0.006958
0,103160336,0,19,15,0,0.010040
0,80317358,0,19,15,0,0.007843
0,95532707,0,19,15,0,0.004402
0,114797487,0,19,15,0,0.005547
0,109919044,0,19,15,0,0.006958
0,79046828,0,19,15,0,0.005547
0,119364345,0,19,15,0,0.004402
0,82421825,0,19,15,0,0.003170
0,105734162,0,19,15,0,0.007042
0,105757001,0,19,15,0,0.005898
0,123576377,0,19,15,0,0.006432
0,110017166,0,19,15,0,0.007843
0,87469614,0,19,15,0,0.007751
0,126687578,0,19,15,0,0.006607
0,109839672,0,19,15,0,0.002907
0,114388286,0,19,15,0,0.008194
0,107394157,0,19,15,0,0.006958
0,103568464,0,19,15,0,0.002995
0,108387696,0,19,15,0,0.019379
0,109179557,0,19,15,0,0.019562
0,112331057,0,19,15,0,0.006607
0,84343570,0,19,15,0,0.002640
0,110188161,0,19,15,0,0.005814
0,127187791,0,19,15,0,0.005547
0,117800341,0,19,15,0,0.004227
0,117279485,0,19,15,0,0.002819
0,88176566,0,19,15,0,0.004494
